B06007_002E,B06007_003E,B06007_004E,B06007_005E,B06007_006E,B06010_002E,B06010_003E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B06008_007E,state,county,tract
1863,350,192,158,617,365,2036,359,318,395,231,337,159,63,174,218,799,622,191,186,387,12,011,060209
1959,695,544,151,478,317,2457,474,136,444,312,410,220,168,293,106,766,791,454,191,663,12,011,060210
2633,1044,459,585,242,329,3519,711,646,689,632,422,233,64,122,587,1359,1081,303,318,377,12,011,060211
2095,637,548,89,378,554,2284,605,211,319,200,297,281,141,230,286,613,913,416,134,904,12,011,060212
1995,1706,824,882,494,366,3685,935,486,999,436,321,187,118,203,506,1200,1051,793,293,237,12,011,060213
5014,145,53,92,1373,1292,4216,1412,614,976,445,545,159,45,20,993,1619,978,392,269,1960,12,011,060302
5083,175,44,131,827,1354,3806,909,772,911,577,332,256,46,3,846,1556,843,212,226,1935,12,011,060303
2239,102,64,38,991,905,2005,459,281,540,296,174,148,21,86,540,921,575,140,47,1013,12,011,060304
1624,873,488,385,106,367,1802,479,331,418,321,139,57,27,30,400,867,504,130,24,612,12,057,000402
2747,741,385,356,176,513,2900,502,240,500,545,428,308,213,164,300,775,1076,532,316,1318,12,057,000500
2250,2391,1340,1051,213,488,3545,785,436,1073,483,501,163,22,82,736,1128,727,426,143,1042,12,057,000601
1252,947,393,554,148,333,1736,388,285,381,240,261,73,17,91,480,696,392,160,62,397,12,057,000602
4482,1012,688,324,149,1025,3605,1218,553,927,434,308,71,26,68,1060,1530,820,204,81,2386,12,057,000700
2319,715,331,384,83,391,2429,574,352,493,445,428,105,27,5,416,1057,683,165,64,1168,12,057,000800
1764,613,343,270,172,316,1818,504,276,462,313,128,102,22,11,485,519,519,164,74,851,12,057,000901
3468,293,185,108,106,496,3032,678,415,735,627,293,86,34,164,340,823,917,517,116,2235,12,057,000902
2260,803,585,218,202,407,2200,823,367,475,347,105,56,6,21,290,1071,508,159,53,1180,12,057,001001
4209,221,110,111,106,625,3193,1021,503,520,487,374,170,59,59,706,1262,704,379,140,2541,12,057,001002
1968,250,144,106,69,307,1755,259,149,375,326,239,197,66,144,201,568,356,334,246,1007,12,057,001100
1674,589,280,309,208,206,1785,530,275,340,227,180,142,0,91,455,521,476,295,28,578,12,057,001200
3419,2420,1201,1219,322,721,4704,1009,649,964,780,757,359,45,141,719,1793,1491,454,53,2077,12,057,001300
2515,2019,937,1082,59,681,3373,707,551,787,375,368,337,60,188,690,1376,779,404,173,1138,12,057,001400
1900,355,254,101,169,230,1978,416,217,175,275,399,218,53,225,233,517,554,343,208,710,12,057,001500
1604,217,136,81,11,125,1485,199,142,226,168,272,239,60,179,152,303,431,340,248,637,12,057,001600
3459,642,390,252,99,421,3334,705,366,480,548,585,300,106,244,385,1055,842,580,375,1483,12,057,001700
3202,308,237,71,163,481,2473,856,433,571,251,187,121,6,48,672,1082,537,91,23,1916,12,057,001800
2602,231,167,64,278,625,1825,452,337,411,303,180,57,18,67,526,761,397,115,63,1745,12,057,001900
2206,510,295,215,242,505,1954,614,277,419,248,199,74,52,71,498,760,660,82,41,1459,12,057,002000
2006,499,377,122,65,374,1846,427,196,292,345,340,101,45,100,349,550,598,267,154,889,12,057,002100
1277,250,209,41,43,91,1347,270,103,308,179,129,160,81,117,105,272,425,327,176,488,12,057,002200
2425,624,315,309,309,505,2595,556,270,483,374,260,306,150,196,412,608,630,591,232,1278,12,057,002300
2038,1196,671,525,91,320,2717,647,397,463,350,416,221,26,197,537,923,661,427,162,1245,12,057,002400
1775,3360,1499,1861,421,588,4475,1364,534,1161,496,425,370,61,64,799,1437,1351,392,77,1116,12,057,002500
431,843,284,559,27,248,930,334,240,226,94,32,4,0,0,342,346,216,37,5,315,12,057,002600
2036,4558,2442,2116,301,922,5219,1027,870,1062,781,717,350,103,309,1403,1528,1143,924,295,1792,12,057,002700
2205,557,470,87,53,279,2363,507,134,382,173,394,229,99,445,93,598,663,688,263,1210,12,057,002800
1624,554,204,350,42,400,1629,365,164,277,337,254,80,28,124,503,442,481,240,135,727,12,057,002900
1848,439,279,160,34,412,1493,386,287,332,207,90,108,34,49,473,486,290,203,57,1116,12,057,003000
1667,814,455,359,124,376,1636,362,375,424,238,121,56,36,24,464,468,465,113,42,969,12,057,003100
1410,822,428,394,538,517,1833,640,418,333,229,134,35,16,28,698,525,425,166,44,670,12,057,003200
1655,223,78,145,92,312,1310,376,262,270,225,83,55,11,28,397,444,327,123,52,891,12,057,003300
2371,143,95,48,53,454,1420,421,248,303,211,116,84,0,37,357,534,391,150,32,1380,12,057,003400
2191,169,86,83,76,424,1660,518,335,340,220,165,48,20,14,335,742,405,152,18,1333,12,057,003500
3481,577,365,212,157,611,2876,944,374,709,352,296,135,29,37,701,1136,874,159,22,2061,12,057,003600
688,85,53,32,29,109,626,250,152,91,53,40,26,10,4,205,194,146,30,11,334,12,057,003700
874,89,66,23,35,198,681,184,89,112,156,94,25,9,12,191,217,183,73,41,525,12,057,003800
1273,484,276,208,100,123,1689,413,280,177,163,245,187,70,154,295,484,237,416,214,772,12,057,003900
236,84,38,46,5,17,272,180,60,28,0,4,0,0,0,72,77,80,23,15,124,12,057,004000
1004,293,100,193,59,150,1076,464,66,187,105,113,46,37,58,250,301,311,125,94,396,12,057,004100
1086,98,84,14,0,90,999,239,98,262,103,85,65,41,106,197,186,234,181,143,536,12,057,004200
2035,439,207,232,55,359,1327,775,207,168,131,8,38,0,0,525,391,204,44,0,957,12,057,004300
1488,569,333,236,34,289,1441,311,321,401,117,182,65,21,23,348,582,360,123,42,855,12,057,004400
1322,2612,1388,1224,43,678,2721,790,404,579,326,359,119,26,118,726,1267,597,190,109,1072,12,057,004500
3215,585,273,312,384,282,3547,405,450,527,518,452,420,132,643,268,646,940,1028,455,1369,12,057,004600
1505,202,126,76,394,328,1453,284,154,230,246,258,165,53,63,187,364,530,239,197,368,12,011,060305
1069,390,170,220,350,193,1493,255,131,464,207,214,65,10,147,130,443,371,483,145,193,12,011,060306
3766,116,86,30,560,705,3132,819,655,560,379,294,226,97,102,579,1410,749,297,171,1355,12,011,060401
4384,207,66,141,1252,699,3894,793,566,931,756,523,177,57,91,845,1183,1248,315,145,1423,12,011,060402
3178,293,245,48,1613,792,3957,1034,625,1046,421,486,215,48,82,731,1596,1012,350,197,1661,12,011,060403
4388,1095,538,557,939,843,4494,764,373,707,549,840,747,183,331,530,1264,1628,700,536,990,12,011,060501
2634,829,699,130,950,704,3256,305,178,395,483,465,410,100,920,43,690,1185,841,749,922,12,011,060503
3037,839,604,235,456,447,3358,490,326,468,311,365,218,139,1041,150,453,911,1073,794,858,12,011,060504
2424,1212,825,387,820,295,3971,446,713,801,586,674,319,96,336,247,1014,1608,668,410,509,12,011,060505
2545,1288,818,470,589,405,3381,561,313,480,321,484,438,177,607,353,623,962,1003,521,873,12,011,060603
2573,666,433,233,352,262,2928,565,206,264,328,591,372,208,394,108,686,913,653,433,920,12,011,060605
3314,878,590,288,663,698,3390,327,376,552,430,840,338,217,310,326,613,1094,1119,443,905,12,011,060606
2139,454,294,160,201,269,2316,339,119,315,334,334,270,80,525,63,360,776,664,461,453,12,011,060607
4420,1689,1264,425,308,551,5157,662,388,629,965,923,602,236,752,219,827,1651,1346,965,1654,12,011,060608
1944,924,572,352,265,390,2478,253,270,394,392,351,342,88,388,143,418,740,842,439,794,12,011,060609
2747,350,299,51,170,455,2454,369,268,423,272,336,245,120,421,86,580,937,587,296,910,12,011,060700
1430,391,330,61,116,428,1333,147,103,262,245,194,181,69,132,89,546,479,219,119,621,12,011,060801
4321,889,355,534,1200,1358,4181,1116,581,863,496,598,260,54,213,760,1393,1316,590,312,1489,12,011,060802
3282,721,611,110,241,425,3191,425,244,402,243,396,577,227,677,295,576,992,970,496,902,12,011,060900
4730,1012,927,85,352,628,4747,586,401,533,317,710,526,190,1484,254,840,1062,1537,1040,1352,12,011,061001
5420,1912,1300,612,1574,1255,6730,805,452,966,1105,894,716,291,1501,78,1327,2363,1697,1815,1131,12,011,061002
2818,3876,1633,2243,379,748,5088,920,571,1250,1027,630,416,135,139,1611,1611,1157,440,114,1314,12,011,061100
4833,2856,1285,1571,870,1616,6247,1538,646,1570,1093,768,372,108,152,981,2267,1615,1356,130,2209,12,011,070101
727,377,203,174,80,137,857,156,114,145,135,139,75,10,83,111,244,358,190,18,282,12,011,070102
3880,1099,656,443,509,1583,3411,884,272,540,420,627,360,142,166,99,590,1171,851,292,1440,12,011,070204
3616,1513,1070,443,613,767,4140,784,402,500,641,402,443,52,916,214,1152,1002,1140,612,1466,12,011,070205
4240,1324,734,590,498,711,4993,987,501,804,523,892,384,282,620,160,1236,1873,1348,458,1077,12,011,070207
4574,1565,1201,364,1107,1257,4851,727,498,645,479,625,383,115,1379,277,1145,1269,1245,956,2100,12,011,070208
3615,727,549,178,448,492,3692,541,146,375,307,519,394,341,1069,102,648,871,1231,829,1323,12,011,070209
1902,752,478,274,553,247,2599,498,250,694,330,383,205,57,182,279,878,686,471,276,555,12,011,070210
3677,1001,831,170,730,782,4101,763,423,514,405,814,190,240,752,238,893,903,1125,580,1590,12,011,070211
4915,2553,1874,679,529,1204,5842,856,538,630,401,1106,547,311,1453,288,1098,1772,1618,666,2053,12,011,070304
4143,2827,1431,1396,374,1113,5093,1098,520,1135,420,853,398,126,543,1066,1749,1363,595,410,1667,12,011,070305
4691,2004,1507,497,936,1089,5283,901,309,442,443,556,530,201,1901,213,958,1361,1735,1177,1857,12,011,070306
1460,1615,990,625,226,336,2519,477,180,518,243,232,232,203,434,161,523,909,488,290,563,12,011,070310
2958,2353,1632,721,741,976,3966,810,234,534,490,522,364,207,805,206,708,1071,1346,737,863,12,011,070311
3040,3198,2174,1024,429,1029,4716,788,426,373,331,565,430,308,1495,77,482,1265,1682,1311,677,12,011,070312
3687,4654,3368,1286,1774,1774,6541,1025,461,652,450,876,723,345,2009,62,661,1921,2121,1937,1424,12,011,070313
3055,1608,1272,336,262,1004,3370,437,289,566,274,441,270,355,738,287,749,1127,728,399,1555,12,011,070314
3679,1605,1190,415,498,842,4055,746,252,487,461,624,421,210,854,280,791,1028,1163,635,1525,12,011,070315
3590,860,706,154,437,605,3641,541,221,452,483,335,428,176,1005,210,650,1051,928,766,1329,12,011,070316
4654,8802,5819,2983,1528,2997,8266,1722,692,832,825,816,721,358,2300,285,506,2555,3493,1991,1200,12,011,070317
3493,2775,1990,785,251,1352,4003,632,282,258,224,346,346,148,1767,32,201,582,1686,1612,1074,12,011,070318
2328,1928,1392,536,211,748,2876,478,164,227,128,322,338,122,1097,126,214,669,1168,807,714,12,011,070319
3183,3769,1998,1771,687,1352,4435,802,87,702,389,524,374,230,1327,64,770,1225,1455,1057,903,12,011,070320
1231,1358,862,496,130,378,2072,322,121,415,265,376,249,41,283,117,404,612,568,425,269,12,011,070321
1572,652,401,251,109,354,1848,290,215,313,295,228,256,49,202,190,592,484,391,152,685,12,057,004700
2353,1397,698,699,91,574,2870,662,287,445,505,434,252,76,209,439,737,1116,445,199,1461,12,057,004800
3410,446,130,316,178,310,3638,436,811,391,196,714,501,41,548,409,609,446,1129,610,1176,12,057,004900
4534,578,478,100,520,875,4542,2713,453,757,249,144,91,70,65,214,405,481,191,165,1234,12,057,005000
1124,177,111,66,160,149,1302,143,47,161,198,157,175,28,393,82,123,307,422,366,255,12,057,005101
3275,249,219,30,316,291,3130,306,58,294,217,382,268,218,1387,0,149,839,1052,1162,498,12,057,005102
2538,292,252,40,393,175,2990,189,124,290,193,553,527,127,987,9,210,458,1107,817,606,12,057,005301
